# Simulated random data file for batch processing
# timestamp: 2020-04-28 09:45:05
# AEH
#  --------------------------------

"var_x","var_y"
0.0101691521704197,0.403483198955655
0.401909791864455,0.142354579875246
0.167430648580194,0.701782348565757
0.908074270933867,0.540554817533121
0.387066839728504,0.0354253123514354
0.465052359504625,0.925303655909374
0.57236814359203,0.892543341033161
0.291650724830106,0.658451941562817
0.980877307709306,0.84955941233784
NA,0.856873243348673
0.846543606836349,0.0155274455901235
0.96067501953803,0.539439922897145
0.103367037838325,0.5801612874493
0.476227089529857,0.12763194530271
0.926266616676003,0.314245029119775
0.719719592714682,0.854956306051463
0.355818982701749,0.754784558201209
0.114218939794227,0.319664167473093
0.992743550799787,0.338505336781964
0.920391731895506,0.0948409896809608
0.193078559590504,0.709307824727148
0.0197824302595109,0.18500575539656
0.727893750416115,0.69976423936896
0.618540120776743,0.237609120085835
0.739418313605711,0.0135993310250342
0.525321388384327,0.828645952744409
0.940000420901924,0.856292493874207
0.996099366573617,0.438642113935202
0.288302551256493,0.793332882458344
0.459558729780838,0.663841330213472
0.68859182484448,0.052022177958861
0.67578077991493,0.131962712155655
0.364105914952233,0.828437123214826
0.739487000042573,0.339213113300502
0.791290833381936,0.384109652368352
0.614544791402295,0.26698833447881
0.208797195227817,0.55839842162095
0.475105393910781,0.412941575516015
0.603588727302849,0.0691139430273324
0.168188975425437,0.746456123190001
0.910858285613358,NA
0.829031269997358,0.804293998517096
0.180916189216077,0.147700587287545
0.0856939912773669,0.144160884199664
NA,0.259362465934828
0.818637071177363,0.476253515807912
0.391056598396972,0.570943550672382
0.807119956472889,0.905563817126676
0.342249626526609,NA
0.85435002669692,0.385095699923113
0.229808712378144,0.751223545055836
0.958574857795611,0.181685068644583
0.420309302397072,0.654944099485874
0.53881085687317,0.468643351690844
0.860601992113516,0.513913412811235
0.131496492540464,0.723924804246053
