# Simulated random data file for batch processing
# timestamp: 2020-04-28 09:45:05
# AEH
#  --------------------------------

"var_x","var_y"
0.863384527154267,0.602819130755961
0.970509688835591,0.726003614719957
0.973106832709163,0.914162869332358
0.837919905781746,NA
NA,0.310335019370541
0.255513848271221,NA
NA,0.445651022251695
0.825249730609357,0.480407056864351
0.112790604820475,0.775028108153492
0.014410805888474,0.418058772105724
0.96031815931201,0.954005461651832
0.424208992859349,0.0120925791561604
0.493195371003821,NA
0.566509752767161,0.625684435246512
0.067225074628368,0.965259583666921
NA,0.751572968903929
0.577168116113171,0.00357494945637882
0.89251095848158,0.604529220145196
NA,NA
0.314943849341944,0.0480264599900693
0.659333921968937,0.625486112199724
0.598396985325962,0.420842266641557
