# Simulated random data file for batch processing
# timestamp: 2020-04-28 09:45:05
# AEH
#  --------------------------------

"var_x","var_y"
0.692570948740467,0.0253917230293155
0.228911827784032,0.630896313814446
0.307648547459394,NA
0.215065132593736,0.750869789626449
0.989236118504778,0.269139813259244
0.645608495222405,NA
0.968775654910132,0.805370416957885
0.395214251242578,0.365040333243087
NA,0.568250931566581
0.688557286979631,0.242474663071334
NA,0.203343362081796
0.789780155755579,0.112743855221197
0.855862108059227,0.478347344556823
0.807884735520929,0.541605275589973
0.22698074975051,0.877467307727784
0.154709262540564,0.113337461603805
0.377808474004269,0.102072325302288
0.328237651381642,0.851964533794671
0.204749164171517,0.555761620169505
NA,0.931243360042572
0.297660812968388,0.702694948296994
0.148410125402734,0.685292557813227
0.230710736475885,0.195826710667461
0.888738080626354,0.740137022919953
0.530674957670271,NA
0.821530973538756,0.465160892112181
0.84248407301493,0.12278622854501
NA,NA
